index,GUID,Name,HallOfFameStatus,HallofFameClass,YearDrafted,TO_YEAR,Years_Played,HOF_Elgibility_Year,Pick,Team,College,GP,MIN,PTS,FGM,FGA,FG%,3P_Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,idPlayer,numberRound,BIRTHDATE,POSITION,AGE_ROOKIE_SEASON,Draft_Decade,numBallotsBeforeInduct,ML_Prediction,ConfusionMatrix
580,MARCUSLIBERTY1990,Marcus Liberty,Not Inducted,,1990,1993,4,1998,42,DEN,University of Illinois at Urbana-Champaign,76,15.4,6.7,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63,1.5,1.4,2.9,0.8,0.6,0.3,0.9,6,77386,2,1968-10-27 00:00:00,Forward,21.97,1990s,,0,True Negative
581,STEVEHENSON1990,Steve Henson,Not Inducted,,1990,1998,9,2003,44,MIL,Kansas State University,68,10.1,3.1,1.2,2.8,41.8,0.3,0.8,33.3,0.6,0.6,90.5,0.2,0.5,0.8,1.9,0.5,0,0.6,4,1667,2,1968-02-02 00:00:00,Guard,22.7,1990s,,0,True Negative
582,KENNYWILLIAMS1990,Kenny Williams,Not Inducted,,1990,1993,4,1998,46,IND,Elizabeth City State University,75,7,2.9,1.2,2.4,52,0,0,0,0.5,0.7,68,0.7,1,1.7,0.4,0.1,0.4,0.6,3.7,78555,2,1969-06-09 00:00:00,Forward,21.35,1990s,,0,True Negative
583,CEDRICCEBALLOS1990,Cedric Ceballos,Not Inducted,,1990,2000,11,2005,48,PHO,"California State University, Fullerton",63,11.6,8.2,3.2,6.7,48.7,0,0.1,16.7,1.7,2.6,66.3,1.2,1.2,2.4,0.6,0.3,0.1,1.1,6.2,76,2,1969-08-02 00:00:00,Forward,21.2,1990s,,0,True Negative
584,TONYSMITH1990,Tony Smith,Not Inducted,,1990,2000,11,2005,51,LAL,Marquette University,64,10.9,3.7,1.5,3.4,44.1,0,0.1,0,0.6,0.9,70.2,0.4,0.7,1.1,2.1,0.4,0.2,1.1,4.2,380,2,1968-06-14 00:00:00,Guard,22.34,1990s,,0,True Negative
585,SEANHIGGINS1990,Sean Higgins,Not Inducted,,1990,1997,8,2002,54,SAS,University of Michigan,50,9.3,4.5,1.9,4.2,45.8,0.1,0.4,15.8,0.6,0.7,84.8,0.4,0.9,1.3,0.7,0.2,0,1,3.3,925,2,1968-12-30 00:00:00,Forward,21.79,1990s,,0,True Negative
586,SEANELLIOTT1989,Sean Elliott,Not Inducted,,1989,2000,12,2005,3,SAS,University of Arizona,81,25.1,10,3.8,8,48.1,0,0.1,11.1,2.3,2.7,86.6,1.6,2.1,3.7,1.9,0.6,0.2,1.4,10.4,251,1,1968-02-02 00:00:00,Forward,21.7,1980s,,1,False Positive
587,GLENRICE1989,Glen Rice,Not Inducted,,1989,2003,15,2008,4,MIA,University of Michigan,77,30,13.6,6.1,13.9,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,4.6,1.8,0.9,0.3,1.5,11.5,779,1,1967-05-28 00:00:00,Forward,22.39,1980s,,0,True Negative
588,JRREID1989,J.R. Reid,Not Inducted,,1989,2000,12,2005,5,CHH,University of North Carolina,82,33.6,11.1,4.4,9.9,44,0,0.1,0,2.3,3.5,66.4,2.4,6,8.4,1.2,1.1,0.7,2.1,13.7,462,1,1968-03-31 00:00:00,Forward,21.54,1980s,,0,True Negative
589,STACEYKING1989,Stacey King,Not Inducted,,1989,1996,8,2001,6,CHI,University of Oklahoma,82,21.7,8.9,3.3,6.5,50.4,0,0,0,2.4,3.3,72.7,2.1,2.6,4.7,1.1,0.5,0.7,1.4,10.2,351,1,1967-01-29 00:00:00,Forward,22.71,1980s,,1,False Positive
590,GEORGEMCCLOUD1989,George McCloud,Not Inducted,,1989,2002,14,2007,7,IND,Florida State University,44,9.4,2.7,1,3.3,31.3,0.3,0.9,32.5,0.3,0.4,78.9,0.3,0.7,1,1,0.4,0.1,0.8,2,45,1,1967-05-27 00:00:00,Forward,22.39,1980s,,0,True Negative
591,RANDYWHITE1989,Randy White,Not Inducted,,1989,1993,5,1998,8,DAL,Louisiana Tech University,55,12.9,4.3,1.7,4.6,36.9,0,0.3,7.1,0.9,1.6,56.2,1.4,1.7,3.1,0.4,0.4,0.1,0.8,3.9,1839,1,1967-11-04 00:00:00,Forward,21.95,1980s,,0,True Negative
592,TOMHAMMONDS1989,Tom Hammonds,Not Inducted,,1989,2000,12,2005,9,WSB,Georgia Institute of Technology,61,13.2,5.3,2.1,4.8,43.7,0,0,0,1,1.6,64.3,1,1.8,2.8,0.8,0.2,0.2,0.8,5.2,67,1,1967-03-27 00:00:00,Forward,22.55,1980s,,0,True Negative
593,POOHRICHARDSON1989,Pooh Richardson,Not Inducted,,1989,1998,10,2003,10,MIN,"University of California, Los Angeles",82,31.5,11.4,5.2,11.3,46.1,0.3,1,27.7,0.8,1.3,58.9,0.7,2,2.6,6.8,1.6,0.3,1.7,14.4,71,1,1966-05-14 00:00:00,Guard,23.42,1980s,,0,True Negative
594,NICKANDERSON1989,Nick Anderson,Not Inducted,,1989,2002,14,2007,11,ORL,University of Illinois at Urbana-Champaign,81,22,11.5,4.6,9.3,49.4,0,0.2,5.9,2.3,3.3,70.5,1.3,2.6,3.9,1.5,0.8,0.4,1.7,10.8,98,1,1968-01-20 00:00:00,Forward,21.74,1980s,,0,True Negative
595,MOOKIEBLAYLOCK1989,Mookie Blaylock,Not Inducted,,1989,2001,13,2006,12,NJN,University of Oklahoma,50,25.3,10.1,4.2,11.4,37.1,0.4,1.6,22.5,1.3,1.6,77.8,0.8,2,2.8,4.2,1.6,0.3,2.2,9.3,302,1,1967-03-20 00:00:00,Guard,22.57,1980s,,0,True Negative
596,MICHAELSMITH1989,Michael Smith,Not Inducted,,1989,1994,6,1999,13,BOS,Brigham Young University,65,9.5,5,2.1,4.4,47.6,0,0.4,7.1,0.8,1,82.8,0.6,0.9,1.5,1.2,0.1,0,0.8,4.6,78197,1,1965-05-19 00:00:00,Guard,24.41,1980s,,0,True Negative
597,TIMHARDAWAY1989,Tim Hardaway,Not Inducted,,1989,2002,14,2007,14,GSW,University of Texas at El Paso,79,33.7,14.7,5.9,12.5,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,3.9,8.7,2.1,0.1,3.3,18.9,896,1,1966-09-01 00:00:00,Guard,23.12,1980s,,1,False Positive
598,TODDLICHTI1989,Todd Lichti,Not Inducted,,1989,1993,5,1998,15,DEN,Stanford University,79,16.8,8,3.2,6.5,48.6,0,0.2,0,1.6,2.2,74.7,0.6,1.3,1.9,1.5,0.7,0.2,1.2,7.1,77387,1,1967-01-08 00:00:00,Guard,22.77,1980s,,0,True Negative
599,DANABARROS1989,Dana Barros,Not Inducted,,1989,2003,15,2008,16,SEA,Boston College,81,20.1,9.7,3.7,9.1,40.5,1.2,2.9,39.9,1.1,1.4,80.9,0.4,1.2,1.6,2.5,0.7,0,1.5,7.3,344,1,1967-04-13 00:00:00,Guard,22.51,1980s,,0,True Negative
600,SHAWNKEMP1989,Shawn Kemp,Not Inducted,,1989,2002,14,2007,17,SEA,Trinity Valley Community College,81,13.8,6.5,2.5,5.2,47.9,0,0.1,16.7,1.4,2,73.6,1.8,2.5,4.3,0.3,0.6,0.9,1.3,8,431,1,1969-11-26 00:00:00,Forward,19.89,1980s,,0,True Negative
601,BJARMSTRONG1989,B.J. Armstrong,Not Inducted,,1989,1999,11,2004,18,CHI,University of Iowa,81,15.9,5.6,2.3,4.8,48.5,0,0.1,50,0.9,1,88.5,0.2,1,1.3,2.5,0.6,0.1,1,6.3,769,1,1967-09-09 00:00:00,Guard,22.1,1980s,,0,True Negative
602,KENNYPAYNE1989,Kenny Payne,Not Inducted,,1989,1992,4,1997,19,PHI,University of Louisville,35,6.2,3.3,1.3,3.1,43.5,0.1,0.3,40,0.5,0.5,88.9,0.3,0.4,0.7,0.3,0.2,0.2,0.6,2.3,77822,1,1966-11-25 00:00:00,Forward,22.89,1980s,,0,True Negative
603,BLUEEDWARDS1989,Blue Edwards,Not Inducted,,1989,1998,10,2003,21,UTA,East Carolina University,82,23,8.9,3.5,6.9,50.7,0.1,0.4,30,1.8,2.5,71.9,0.8,2.2,3.1,1.8,0.9,0.4,1.9,9.1,898,1,1965-10-31 00:00:00,Forward,23.96,1980s,,0,True Negative
604,BYRONIRVIN1989,Byron Irvin,Not Inducted,,1989,1992,4,1997,22,POR,University of Missouri,50,9.8,5.2,1.9,4.1,47.3,0.1,0.3,35.7,1.2,1.8,67,0.6,0.9,1.5,0.9,0.6,0,0.8,4.6,77096,1,1966-12-02 00:00:00,Guard,22.87,1980s,,0,True Negative
605,JOHNMORTON1989,John Morton,Not Inducted,,1989,1991,3,1996,25,CLE,Seton Hall University,37,10.9,3.9,1.3,4.4,29.8,0.2,0.8,23.3,1.2,1.7,69.4,0.2,0.7,0.9,1.8,0.5,0.1,1.4,2.3,1972,1,1967-05-18 00:00:00,Forward,22.41,1980s,,0,True Negative
606,KENNYBATTLE1989,Kenny Battle,Not Inducted,,1989,1992,4,1997,27,DET,University of Illinois at Urbana-Champaign,59,12.4,4.1,1.6,2.9,54.7,0,0.1,25,0.9,1.4,67.1,0.7,1.4,2.1,0.6,0.6,0.2,0.5,5.3,76123,1,1964-10-10 00:00:00,Guard,25.01,1980s,,0,True Negative
607,SHERMANDOUGLAS1989,Sherman Douglas,Not Inducted,,1989,2000,12,2005,28,MIA,Syracuse University,81,30.5,14.3,5.7,11.6,49.4,0.1,0.4,16.1,2.8,4,68.7,0.9,1.7,2.5,7.6,1.8,0.1,3,16.2,428,2,1966-09-15 00:00:00,Guard,23.08,1980s,,1,False Positive
608,FRANKKORNET1989,Frank Kornet,Not Inducted,,1989,1990,2,1995,30,MIL,Vanderbilt University,57,7.7,2,0.7,2,36.8,0.1,0.4,25,0.4,0.7,61.5,0.4,0.8,1.2,0.4,0.3,0.1,0.4,2,77301,2,1967-01-27 00:00:00,Forward,22.72,1980s,,0,True Negative
609,JEFFMARTIN1989,Jeff Martin,Not Inducted,,1989,1990,2,1995,31,LAC,Murray State University,69,19.6,6.3,2.5,6,41.1,0,0.2,13.3,1.3,1.9,70.5,1.1,1.2,2.3,0.6,0.6,0.2,0.7,5.3,77474,2,1967-01-14 00:00:00,Guard,22.75,1980s,,0,True Negative
610,CLIFFORDROBINSON1989,Clifford Robinson,Not Inducted,,1989,2006,18,2011,36,POR,University of Connecticut,82,19.1,9.1,3.6,9.2,39.7,0.1,0.5,27.3,1.7,3.1,55,1.3,2.4,3.8,0.9,0.7,0.7,1.6,6.5,361,2,1966-12-16 00:00:00,Forward,22.83,1980s,,0,True Negative
611,MICHAELANSLEY1989,Michael Ansley,Not Inducted,,1989,1991,3,1996,37,ORL,University of Alabama,72,17,8.7,3.2,6.5,49.7,0,0,0,2.3,3.2,72.2,2.6,2.4,5,0.6,0.3,0.2,0.7,10,76050,2,1967-02-08 00:00:00,Forward,22.68,1980s,,0,True Negative
612,DOUGWEST1989,Doug West,Not Inducted,,1989,2000,12,2005,38,MIN,Villanova University,52,7.3,2.6,1,2.6,39.3,0.1,0.2,27.3,0.5,0.6,81.3,0.5,0.9,1.3,0.3,0.2,0.1,0.6,2.3,28,2,1967-05-27 00:00:00,Guard,22.39,1980s,,0,True Negative
613,EDHORTON1989,Ed Horton,Not Inducted,,1989,1989,1,1994,39,WSB,University of Iowa,45,8.3,4.5,1.8,3.6,49.4,0,0.1,0,0.9,1.5,60.9,1.3,1.1,2.4,0.4,0.2,0.1,0.9,4.3,77060,2,1967-12-17 00:00:00,Center,21.83,1980s,,0,True Negative
614,DOUGROTH1989,Doug Roth,Not Inducted,,1989,1989,1,1994,41,WSB,University of Tennessee,42,9.8,1.9,0.9,2,43,0,0,0,0.2,0.3,50,1,1.8,2.9,0.5,0.2,0.3,0.4,4,78021,2,1967-08-24 00:00:00,Forward,22.14,1980s,,0,True Negative
615,CHUCKYBROWN1989,Chucky Brown,Not Inducted,,1989,2001,13,2006,43,CLE,North Carolina State University,75,17.9,7.3,2.8,6,47,0,0.1,0,1.7,2.2,76.2,1.1,2,3.1,0.7,0.4,0.3,0.9,7.2,359,2,1968-02-29 00:00:00,Forward,21.63,1980s,,0,True Negative
616,SCOTTHAFFNER1989,Scott Haffner,Not Inducted,,1989,1990,2,1995,45,MIA,University of Evansville,43,13,4.6,2,5,40.6,0.1,0.5,14.3,0.4,0.6,68,0.2,1,1.2,1.9,0.3,0.1,0.8,4,76911,2,1966-02-02 00:00:00,Guard,23.7,1980s,,0,True Negative
617,MIKEMORRISON1989,Mike Morrison,Not Inducted,,1989,1989,1,1994,51,PHO,Loyola College in Maryland,36,4.3,2,0.6,1.9,33.8,0.1,0.2,28.6,0.7,0.8,80,0.2,0.4,0.6,0.3,0.1,0,0.6,0.9,77649,2,1967-08-16 00:00:00,Guard,22.17,1980s,,0,True Negative
618,GREGGRANT1989,Greg Grant,Not Inducted,,1989,1995,7,2000,52,PHO,Trenton State University,67,10.1,3.1,1.2,3.2,38.4,0,0.2,18.8,0.6,0.9,66.1,0.2,0.6,0.9,2.5,0.5,0,1.1,3.6,285,2,1966-08-29 00:00:00,Guard,23.13,1980s,,0,True Negative
619,RIKSMITS1988,Rik Smits,Not Inducted,,1988,1999,12,2004,2,IND,Marist College,82,24.9,11.7,4.7,9.1,51.7,0,0,0,2.2,3.1,72.2,2.3,3.8,6.1,0.9,0.5,1.8,1.6,14.1,22,1,1966-08-23 00:00:00,Center,22.15,1980s,,1,False Positive
620,CHARLESSMITH1988,Charles Smith,Not Inducted,,1988,1996,9,2001,3,PHI,University of Pittsburgh,71,30.4,16.3,6.1,12.4,49.5,0,0,0,4,5.5,72.5,2.4,4.1,6.5,1.5,1,1.3,2.1,16.7,293,1,1965-07-16 00:00:00,Forward,23.25,1980s,,1,False Positive
621,CHRISMORRIS1988,Chris Morris,Not Inducted,,1988,1998,11,2003,4,NJN,Auburn University,76,27.6,14.1,5.4,11.9,45.7,0.8,2.3,36.6,2.4,3.3,71.7,2.5,2.8,5.2,1.6,1.3,0.8,2.5,13.1,356,1,1966-01-20 00:00:00,Forward,22.74,1980s,,1,False Positive
622,HERSEYHAWKINS1988,Hersey Hawkins,Not Inducted,,1988,2000,13,2005,6,LAC,Bradley University,79,32.6,15.1,5.6,12.3,45.5,0.9,2.1,42.8,3.1,3.7,83.1,0.6,2.2,2.8,3,1.5,0.5,2,13.7,765,1,1966-09-29 00:00:00,Guard,22.05,1980s,,1,False Positive
623,TIMPERRY1988,Tim Perry,Not Inducted,,1988,1995,8,2000,7,PHO,Temple University,62,9.9,4.1,1.7,3.2,53.7,0,0.1,25,0.6,1,61.5,1,1.1,2.1,0.3,0.3,0.5,0.6,4.9,897,1,1965-06-04 00:00:00,Forward,23.37,1980s,,0,True Negative
624,REXCHAPMAN1988,Rex Chapman,Not Inducted,,1988,1999,12,2004,8,CHH,University of Kentucky,75,29.6,16.9,7,16.9,41.4,0.8,2.5,31.4,2.1,2.6,79.5,1,1.5,2.5,2.3,0.9,0.3,1.5,11,364,1,1967-10-05 00:00:00,Guard,21.03,1980s,,0,True Negative
625,RONYSEIKALY1988,Rony Seikaly,Not Inducted,,1988,1998,11,2003,9,MIA,Syracuse University,78,25.2,10.9,4.3,9.5,44.8,0,0.1,25,2.3,4.5,51.1,2.6,4.4,7,0.7,0.6,1.2,2.6,10.4,938,1,1965-05-10 00:00:00,Center,23.43,1980s,,0,True Negative
626,WILLIEANDERSON1988,Willie Anderson,Not Inducted,,1988,1996,9,2001,10,SAS,University of Georgia,81,33.8,18.6,7.9,15.9,49.8,0,0.3,19,2.8,3.6,77.5,1.9,3.3,5.1,4.6,1.9,0.8,3.2,19,335,1,1967-01-08 00:00:00,Guard,21.77,1980s,,1,False Positive
627,HARVEYGRANT1988,Harvey Grant,Not Inducted,,1988,1998,11,2003,12,WSB,University of Oklahoma,71,16.8,5.6,2.5,5.5,46.4,0,0,0,0.5,0.8,59.6,1.1,1.2,2.3,1.1,0.5,0.4,0.4,6.2,265,1,1965-07-04 00:00:00,Forward,23.28,1980s,,0,True Negative
628,DANMAJERLE1988,Dan Majerle,Not Inducted,,1988,2001,14,2006,14,PHO,Central Michigan University,54,25.1,8.6,3.4,8,41.9,0.5,1.5,32.9,1.4,2.4,61.4,1.1,2.7,3.9,2.4,1.2,0.3,0.9,9.9,105,1,1965-09-09 00:00:00,Guard,23.1,1980s,,0,True Negative
629,GARYGRANT1988,Gary Grant,Not Inducted,,1988,2000,13,2005,15,SEA,University of Michigan,71,27.1,11.9,5.1,11.7,43.5,0.1,0.3,22.7,1.7,2.3,73.5,1.1,2.2,3.4,7.1,2,0.1,3.6,13.7,202,1,1965-04-21 00:00:00,Guard,23.49,1980s,,1,False Positive
974,PEJASTOJAKOVIC1998,Peja Stojakovic,Not Inducted,,1998,2010,13,2015,200,,,48,21.4,8.4,2.9,7.8,37.8,1.2,3.7,32,1.3,1.5,85.1,0.9,2.1,3,1.5,0.8,0.1,1.1,7.7,,10,,,,,,0,True Negative
630,DERRICKCHIEVOUS1988,Derrick Chievous,Not Inducted,,1988,1990,3,1995,16,HOU,University of Missouri,81,19,9.3,3.4,7.8,43.7,0.1,0.3,20.8,2.4,3,78.3,1.4,1.8,3.2,1,0.6,0.1,1.7,7.4,76387,1,1967-07-03 00:00:00,Forward,21.29,1980s,,0,True Negative
631,ERICLECKNER1988,Eric Leckner,Not Inducted,,1988,1996,9,2001,17,UTA,University of Wyoming,75,10.4,4.3,1.6,2.9,54.5,0,0,0,1.1,1.5,69.9,0.6,2,2.7,0.2,0.1,0.3,0.9,4.8,287,1,1966-05-27 00:00:00,Center,22.39,1980s,,0,True Negative
632,RICKYBERRY1988,Ricky Berry,Not Inducted,,1988,1988,1,1993,18,SAC,San Jose State University,64,22,11,4,8.9,45,1,2.5,40.6,2,2.6,78.9,0.9,2.2,3.1,1.3,0.6,0.3,1.3,9.6,76157,1,1964-10-06 00:00:00,Forward,24.03,1980s,,0,True Negative
633,RODSTRICKLAND1988,Rod Strickland,Not Inducted,,1988,2004,17,2009,19,NYK,DePaul University,81,16.8,8.9,3.3,7,46.7,0.2,0.7,32.2,2.1,2.9,74.5,0.6,1.3,2,3.9,1.2,0,1.8,9.8,393,1,1966-07-11 00:00:00,Guard,22.26,1980s,,1,False Positive
634,KEVINEDWARDS1988,Kevin Edwards,Not Inducted,,1988,2000,13,2005,20,MIA,DePaul University,79,29.7,13.8,5.9,14,42.5,0.1,0.5,27,1.8,2.4,74.6,1.1,2.2,3.3,4.4,1.8,0.3,3.1,11.9,236,1,1965-10-30 00:00:00,Guard,22.96,1980s,,0,True Negative
635,MARKBRYANT1988,Mark Bryant,Not Inducted,,1988,2002,15,2007,21,POR,Seton Hall University,56,14.3,5,2.1,4.4,48.6,0,0,0,0.7,1.2,58,1.2,2,3.2,0.6,0.4,0.1,0.7,5.8,95,1,1965-04-25 00:00:00,Forward,23.47,1980s,,0,True Negative
636,RANDOLPHKEYS1988,Randolph Keys,Not Inducted,,1988,1995,8,2000,22,CLE,University of Southern Mississippi,42,7.9,4,1.8,4.1,43,0,0.2,10,0.5,0.7,69,0.5,0.8,1.3,0.5,0.3,0.1,0.5,3.2,705,1,1966-04-19 00:00:00,Forward,22.49,1980s,,0,True Negative
637,JEROMELANE1988,Jerome Lane,Not Inducted,,1988,1992,5,1997,23,DEN,University of Pittsburgh,54,10.2,4.8,2,4.7,42.6,0,0.1,0,0.8,2.1,38.4,1.6,2.1,3.7,1.1,0.4,0.1,0.9,5.2,77335,1,1966-12-04 00:00:00,Forward,21.86,1980s,,0,True Negative
638,BRIANSHAW1988,Brian Shaw,Not Inducted,,1988,2002,15,2007,24,BOS,"University of California, Santa Barbara",82,28.1,8.6,3.6,8.4,43.3,0,0.2,0,1.3,1.6,82.6,1.5,3.1,4.6,5.8,0.9,0.3,2.3,12.9,216,1,1966-03-22 00:00:00,Guard,22.57,1980s,,0,True Negative
639,DAVIDRIVERS1988,David Rivers,Not Inducted,,1988,1991,4,1996,25,LAL,University of Notre Dame,47,9.4,2.9,1,2.6,40.2,0,0.1,16.7,0.7,0.9,83.3,0.3,0.6,0.9,2.3,0.5,0.2,1.3,3.7,77970,1,1965-01-20 00:00:00,Guard,23.73,1980s,,0,True Negative
640,SHELTONJONES1988,Shelton Jones,Not Inducted,,1988,1988,1,1993,27,SAS,St. John's University,51,13.4,4.8,1.8,4.1,44.5,0,0,0,1.1,1.6,72.5,0.6,1.6,2.2,0.8,0.4,0.3,0.9,4.9,2652,2,1966-04-06 00:00:00,Forward,22.53,1980s,,0,True Negative
641,ANDREWLANG1988,Andrew Lang,Not Inducted,,1988,1999,12,2004,28,PHO,University of Arkansas,62,8.5,2.6,1,1.9,51.3,0,0,0,0.6,1,65,0.9,1.5,2.4,0.1,0.3,0.8,0.5,4.4,457,2,1966-06-28 00:00:00,Center,22.3,1980s,,0,True Negative
642,VINNYDELNEGRO1988,Vinny Del Negro,Not Inducted,,1988,2001,14,2006,29,SAC,North Carolina State University,80,19.5,7.1,3,6.3,47.5,0.1,0.3,30,1.1,1.3,85,0.6,1.5,2.1,2.6,0.8,0.2,1,8.4,219,2,1966-08-09 00:00:00,Guard,22.19,1980s,,0,True Negative
643,EVERETTESTEPHENS1988,Everette Stephens,Not Inducted,,1988,1990,3,1995,31,PHI,Purdue University,35,6,1.9,0.7,2.1,31.9,0.1,0.3,20,0.5,0.6,77.3,0.3,0.3,0.7,1.1,0.3,0.1,0.8,1.6,78247,2,1966-10-21 00:00:00,Guard,21.99,1980s,,0,True Negative
644,CHARLESSHACKLEFORD1988,Charles Shackleford,Not Inducted,,1988,1998,11,2003,32,NJN,North Carolina State University,60,8.1,3.1,1.4,2.8,49.4,0,0,0,0.4,0.7,50,0.8,1.7,2.6,0.4,0.3,0.3,0.5,4.4,1593,2,1966-04-22 00:00:00,Center,22.48,1980s,,0,True Negative
645,GRANTLONG1988,Grant Long,Not Inducted,,1988,2002,15,2007,33,MIA,Eastern Michigan University,82,29.7,11.9,4.1,8.4,48.6,0,0.1,0,3.7,5,74.9,2.9,3.7,6.7,1.8,1.5,0.6,2.5,14.4,3,2,1966-03-12 00:00:00,Forward,22.6,1980s,,1,False Positive
646,SYLVESTERGRAY1988,Sylvester Gray,Not Inducted,,1988,1988,1,1993,35,MIA,University of Memphis,55,22.2,8,3,7.2,42,0,0.1,25,1.9,2.8,67.3,2.1,3.1,5.2,2.1,0.7,0.5,1.9,9.5,76862,2,1967-07-08 00:00:00,Forward,21.27,1980s,,0,True Negative
647,LEDELLEACKLES1988,Ledell Eackles,Not Inducted,,1988,1997,10,2002,36,WSB,University of New Orleans,80,18.2,11.5,4,9.2,43.4,0.1,0.5,22.5,3.4,4.3,78.6,1.3,1,2.3,1.5,0.5,0.1,1.6,8.1,289,2,1966-11-24 00:00:00,Guard,21.89,1980s,,0,True Negative
648,TODDMITCHELL1988,Todd Mitchell,Not Inducted,,1988,1988,1,1993,43,DEN,Purdue University,24,14.7,5.1,1.8,4,44.3,0,0,0,1.5,2.7,57.8,0.8,1.3,2.1,0.9,0.7,0.1,1.4,4.1,77614,2,1966-07-26 00:00:00,Forward,22.22,1980s,,0,True Negative
649,TOMGARRICK1988,Tom Garrick,Not Inducted,,1988,1991,4,1996,45,LAC,University of Rhode Island,71,21.1,6.4,2.5,5.1,49,0,0.2,0,1.4,1.8,80.3,0.5,1.7,2.2,3.4,1.1,0.1,1.6,8.7,76790,2,1966-07-07 00:00:00,Guard,22.28,1980s,,0,True Negative
650,MORLONWILEY1988,Morlon Wiley,Not Inducted,,1988,1994,7,1999,46,DAL,"California State University, Long Beach",51,8,2.2,0.9,2.2,40.4,0.1,0.5,25,0.3,0.3,81.3,0.3,0.7,0.9,1.5,0.5,0.1,0.7,3.1,78528,2,1966-09-24 00:00:00,Guard,22.06,1980s,,0,True Negative
651,VERNONMAXWELL1988,Vernon Maxwell,Not Inducted,,1988,2000,13,2005,47,DEN,University of Florida,79,26.1,11.7,4.5,10.5,43.2,0.4,1.6,24.8,2.3,3.1,74.5,0.6,1.9,2.6,3.8,1.1,0.1,2.3,10.3,137,2,1965-09-12 00:00:00,Guard,23.09,1980s,,0,True Negative
652,MICHEALWILLIAMS1988,Micheal Williams,Not Inducted,,1988,1998,11,2003,48,DET,Baylor University,49,7.3,2.6,1,2.6,36.4,0,0.2,22.2,0.6,1,66,0.2,0.4,0.6,1.4,0.3,0.1,0.9,2,52,2,1966-07-23 00:00:00,Guard,22.23,1980s,,0,True Negative
653,CRAIGNEAL1988,Craig Neal,Not Inducted,,1988,1990,3,1995,71,POR,Georgia Institute of Technology,53,9.4,2.2,0.8,2.3,36.6,0.2,0.6,29.4,0.3,0.4,60.9,0.1,0.4,0.5,2.2,0.5,0.1,1,2.8,77694,3,1964-02-16 00:00:00,Guard,24.66,1980s,,0,True Negative
654,MICHAELANDERSON1988,Michael Anderson,Not Inducted,,1988,1988,1,1993,73,IND,Drexel University,36,20.3,5.7,2,4.9,41.7,0,0.2,14.3,1.6,2.3,69.5,1.2,1.3,2.5,4.3,1.2,0.1,2.3,7.8,76042,3,1966-03-23 00:00:00,Guard,22.57,1980s,,0,True Negative
655,ARMENGILLIAM1987,Armen Gilliam,Not Inducted,,1987,1999,13,2004,2,PHO,"University of Nevada, Las Vegas",55,32.9,14.8,6.2,13.1,47.5,0,0,0,2.4,3.5,67.9,2.4,5.5,7.9,1.3,1.1,0.5,2.2,15.4,288,1,1964-05-28 00:00:00,Forward,23.38,1980s,,0,True Negative
656,DENNISHOPSON1987,Dennis Hopson,Not Inducted,,1987,1991,5,1996,3,NJN,Ohio State University,61,22.4,9.6,3.6,9,40.4,0.2,0.7,26.7,2.1,2.9,74,1,1.3,2.3,1.9,0.9,0.4,1.9,7.2,77054,1,1965-04-22 00:00:00,Forward,22.48,1980s,,0,True Negative
657,REGGIEWILLIAMS1987,Reggie Williams,Not Inducted,,1987,1996,10,2001,4,LAC,Georgetown University,35,24.5,10.4,4.3,12.2,35.6,0.4,1.7,22.4,1.4,1.9,72.7,1.6,1.8,3.4,1.7,0.8,0.6,1.8,6.7,199,1,1964-03-05 00:00:00,"",23.61,1980s,,0,True Negative
658,HOLLISTHOMPSON2013,Hollis Thompson,Not Inducted,,2013,2016,4,2021,200,,,77,22.6,6,2.2,4.8,46,0.9,2.2,40.1,0.7,0.9,71.2,0.9,2.3,3.2,0.9,0.7,0.2,0.8,7.3,,10,,,,,,0,True Negative
659,KENNYSMITH1987,Kenny Smith,Not Inducted,,1987,1996,10,2001,6,SAC,University of North Carolina,61,35.6,13.8,5.4,11.4,47.7,0.2,0.6,30.8,2.7,3.3,81.9,0.7,1.6,2.3,7.1,1.5,0.1,3,15.2,181,1,1965-03-08 00:00:00,Guard,22.6,1980s,,1,False Positive
660,KEVINJOHNSON1987,Kevin Johnson,Not Inducted,,1987,1999,13,2004,7,CLE,University of California,80,24,9.2,3.4,7.5,46.1,0.1,0.3,20.8,2.2,2.6,83.9,0.5,1.9,2.4,5.5,1.3,0.3,1.8,12.3,134,1,1966-03-04 00:00:00,Guard,21.62,1980s,,1,False Positive
661,OLDENPOLYNICE1987,Olden Polynice,Not Inducted,,1987,2003,17,2008,8,CHI,University of Virginia,82,13.2,4.1,1.4,3.1,46.5,0,0,0,1.2,1.9,63.9,1.5,2.5,4,0.4,0.4,0.3,1,5.9,178,1,1964-11-21 00:00:00,Center,22.9,1980s,,0,True Negative
